id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
51297,1850028,Mercure Krakow Stare Miasto,Pawia 18 B,Krakow,Poland,31154,Hotels,4,50.066754,19.944759,2,http://www.booking.com/hotel/pl/mercure-krakow-stare-miasto.en-gb.html,PLN
51298,1850029,Ibis Gdansk Stare Miasto,Heweliusza 24,Gdansk,Poland,,Hotels,2,54.356569,18.652247,2,http://www.booking.com/hotel/pl/ibis-gdansk-stare-miasto.en-gb.html,PLN
51299,185003,ibis budget Pontivy,Saint Niel,Pontivy,France,56300,Hotels,2,48.07036771,-2.94366069,2,http://www.booking.com/hotel/fr/ibis-budget-pontivy.en-gb.html,EUR
51300,185004,Hotel Bellerive Gstaad,Bellerivestrasse,Gstaad,Switzerland,3780,Hotels,3,46.47987006,7.27453709,2,http://www.booking.com/hotel/ch/bellerive-gstaad.en-gb.html,CHF
51301,185005,Komfort-Hotel Katerberg,Bergstrasse 5-6,Luchow,Germany,29439,Hotels,4,52.96857613,11.16735578,2,http://www.booking.com/hotel/de/komfort-katerberg.en-gb.html,EUR
51302,185006,Hotel Rheinischer Hof Bad Soden,Am Bahnhof 3,Bad Soden am Taunus,Germany,65812,Hotels,4,50.14348158,8.50333281,2,http://www.booking.com/hotel/de/rheinischer-hof-bad-soden.en-gb.html,EUR
51303,185007,Hotel Les Rhodos,Rue De Bourg,Morzine,France,74110,Hotels,2,46.17900954,6.70779169,2,http://www.booking.com/hotel/fr/les-rhodos-morzine.en-gb.html,EUR
51304,185010,Das Hotel Panorama,Engi 448a,Hasliberg,Switzerland,6086,Hotels,3,46.73287058,8.20829049,2,http://www.booking.com/hotel/ch/viktoria-hasliberg-reuti.en-gb.html,CHF
51305,1850103,Ecoalbergo Bracciano,Piazza G. Mazzini 12,Bracciano,Italy,62,Hotels,3,42.10425949,12.17689991,5,https://www.agoda.com/en-gb/ecoalbergo-bracciano/hotel/bracciano-it.html,EUR
51306,185019,Hotel de l'Isle - L'Isle d'Abeau,13 Rue Du Creuzat,LIsle-dAbeau,France,38080,Hotels,3,45.6148254,5.22378981,2,http://www.booking.com/hotel/fr/de-l-isle-l-isle-d-abeau.en-gb.html,EUR
51307,185021,Hotel Restaurant Le Velleda,Col Du Donon,Grandfontaine,France,67130,Hotels,3,48.50733444,7.14702353,2,http://www.booking.com/hotel/fr/restaurant-le-velleda.en-gb.html,EUR
51308,185024,Hotel Terminus,5 Avenue Charles de Freycinet,Cahors,France,46000,Hotels,3,44.45055127,1.43415168,2,http://www.booking.com/hotel/fr/terminus-cahors.en-gb.html,EUR
51309,185028,Stadtperle Rostock,Rosa Luxemburg Str. 32,Rostock,Germany,18055,Hotels,2,54.08024072,12.13594839,2,http://www.booking.com/hotel/de/stadtperle-rostock.en-gb.html,EUR
51310,185048,Hotel Massimo,35 Palestro Street,Rome,Italy,,Hotels,3,41.905735,12.5033045,5,https://www.agoda.com/en-gb/hotel-massimo_4/hotel/rome-it.html,EUR
51311,185053,Atlantic Congress Hotel Essen,Messeplatz 3,Essen,Germany,45131,Hotels,4,51.43096922,6.99836612,2,http://www.booking.com/hotel/de/atlantic-congress-messe-essen.en-gb.html,EUR
51312,185066,Le Cheval Noir Hotel Paris Pantin,2 avenue Gaston Roussel,Pantin,France,93500,Hotels,2,48.89541933,2.42627934,2,http://www.booking.com/hotel/fr/le-cheval-noir.en-gb.html,EUR
51313,1850729,Artagonist Art Hotel,Pilies g. 34,Vilnius,Lithuania,,Hotels,4,54.68183989,25.28924991,2,http://www.booking.com/hotel/lt/artagonist.en-gb.html,EUR
51314,185085,Hotel Zur Linde,Josef-Dunkl-Strasse 8,Mistelbach,Austria,2130,Hotels,4,48.56533718,16.56544089,2,http://www.booking.com/hotel/at/zur-linde.en-gb.html,EUR
51315,185087,Hotel Le Dormeur du Val,32 Bis Rue De La Graviere,Charleville-Mezieres,France,8000,Hotels,4,49.76978525,4.72544745,2,http://www.booking.com/hotel/fr/le-dormeur-du-val.en-gb.html,EUR
51316,185088,Hotel Excelsior Ludwigshafen,Lorientallee 16,Ludwigshafen am Rhein,Germany,67059,Hotels,3,49.47834187,8.43709566,2,http://www.booking.com/hotel/de/excelsior-ludwigshafen.en-gb.html,EUR
51317,18509,Hotel Moderno,Via Giosue Carducci 37,Assisi,Italy,6081,Hotels,3,43.05963067,12.58521438,2,http://www.booking.com/hotel/it/moderno-assisi.en-gb.html,EUR
51318,185122,Lindemann Hotel,Kruppstr. 5,Hildesheim,Germany,31135,Hotels,3,52.16790269,9.97383714,2,http://www.booking.com/hotel/de/lindemann-hildesheim.en-gb.html,EUR
51319,1851255,Hotel Centrale Curtis,Corso Europa 30,Alassio,Italy,17021,Hotels,3,44.0008583,8.1668401,2,http://www.booking.com/hotel/it/centrale-curtis.en-gb.html,EUR
51320,18513,Hotel Bishops Arms Lund,S:T Petri Kyrkogata 7,Lund,Sweden,,Hotels,3,55.70628757,13.19145396,2,http://www.booking.com/hotel/se/bishopsarms-lund.en-gb.html,SEK
51321,185130,Strandlust Vegesack,Rohrstr. 11,Bremen-Vegesack,Germany,28757,Hotels,4,53.1689711,8.62254024,2,http://www.booking.com/hotel/de/strandlust-vegesack.en-gb.html,EUR
51322,1851358,Pest-Buda Hotel - Design & Boutique,Fortuna utca 3.,Budapest,Hungary,1014,Hotels,4,47.503307,19.03232,2,http://www.booking.com/hotel/hu/pest-buda.en-gb.html,EUR
51323,18514,Clarion Collection Hotel Planetstaden,Dalbyvagen 38,Lund,Sweden,22460,Hotels,4,55.69871849,13.21466446,2,http://www.booking.com/hotel/se/first-planetstaden.en-gb.html,SEK
51324,1851452,Locanda le Monache,Piazza XXIX maggio num. 36,Camaiore,Italy,55041,Hotels,3,43.93948382,10.30141373,2,http://www.booking.com/hotel/it/locanda-le-monache.en-gb.html,EUR
51325,185147,Hotel Alize,17 Rue Baque,Toulouse,France,31200,Hotels,2,43.62274675,1.4351327,2,http://www.booking.com/hotel/fr/alize-toulouse.en-gb.html,EUR
51326,1851529,Mobile Home Mia Murter,Zaratic 1,Jezera,Croatia,22242,Holiday parks,3,43.79426346,15.62597114,2,http://www.booking.com/hotel/hr/mobile-home-mia-murter.en-gb.html,EUR
51327,1851552,Hotel Els Noguers,Avinguda Paisos Catalans 167,Manresa,Spain,8243,Hotels,2,41.72288113,1.84859657,2,http://www.booking.com/hotel/es/els-noguers-manresa1.en-gb.html,EUR
51328,1851575,Hotel Palacete de Alamos,"Alamos, 20",Malaga,Spain,29012,Hotels,4,36.7236853,-4.41941692,2,http://www.booking.com/hotel/es/palacete-de-alamos.en-gb.html,EUR
51329,1851581,Hotel Villa Ombrosa,"Via V Traversa, 5",Milano Marittima,Italy,48015,Hotels,3,44.28291862,12.34734073,2,http://www.booking.com/hotel/it/villa-ombrosa-milano-marittima.en-gb.html,EUR
51330,18516,El Varadero,"Urbanizacion Atlanterra, s/n",Zahara de los Atunes,Spain,11393,Hotels,2,36.10828166,-5.82532078,2,http://www.booking.com/hotel/es/hotelito-el-varadero.en-gb.html,EUR
51331,1851680,BV President Hotel,"Via Alessandro Volta, 47-49",Rende,Italy,87036,Hotels,4,39.35335279,16.243346,2,http://www.booking.com/hotel/it/bv-president.en-gb.html,EUR
51332,185169,Hotel de la Lande,Place de la Lande,Le Brassus,Switzerland,1348,Inns,3,46.58191759,6.21094868,2,http://www.booking.com/hotel/ch/de-la-lande.en-gb.html,CHF
51333,1851700,Hotel Giardino,Viale Carducci 154,Cesenatico,Italy,47042,Hotels,3,44.19717809,12.40850569,2,http://www.booking.com/hotel/it/giardino-cesenatico.en-gb.html,EUR
51334,1851805,Muzic Budget Double Room,Stjepana Radica 21,Mali Losinj,Croatia,51550,Bed and breakfasts,3,44.5280318,14.47394466,2,https://www.booking.com/hotel/hr/muzic-family-room.en-gb.html,EUR
51335,1851896,Bodenseehotel Krone Am See,Seestr. 54,Sipplingen,Germany,78354,Hotels,3,47.79506084,9.09755106,2,http://www.booking.com/hotel/de/bosee-restaurant-krone-am-see.en-gb.html,EUR
51336,18519,ALEGRIA Santa Cristina,"Roca Grossa, 2",Lloret de Mar,Spain,17310,Hotels,4,41.70487772,2.85526916,2,http://www.booking.com/hotel/es/eugenia.en-gb.html,EUR
51337,1851969,Breffni Arms Hotel,Arvagh Main Street,Arvagh,Ireland,,Hotels,3,53.92427252,-7.58327803,2,http://www.booking.com/hotel/ie/breffni-arms.en-gb.html,EUR
51338,185200,Wellness Hotel Szindbad,Arnyas fasor 1,Balatonszemes,Hungary,8636,Hotels,3,46.81020476,17.78260589,2,http://www.booking.com/hotel/hu/szindbad-wellness.en-gb.html,EUR
51339,185201,Hotel Holiday,Petofi setany 3.,Siofok,Hungary,8600,Hotels,3,46.91121185,18.05247232,2,http://www.booking.com/hotel/hu/holiday.en-gb.html,EUR
51340,185203,Greenfield Hotel Golf & Spa,Golf ut 4.,Buk,Hungary,9740,Resorts,4,47.38914704,16.7811656,2,http://www.booking.com/hotel/hu/radisson-sas-birdland-resort-spa.en-gb.html,EUR
51341,185205,Eurostars Budapest Center,Kossuth Lajos U. 7-9,Budapest,Hungary,1053,Hotels,4,47.49371504,19.05802578,2,http://www.booking.com/hotel/hu/eurostars-budapest-center.en-gb.html,EUR
51342,185206,Hotel Villa Pax,Bajcsy Zsilinszky utca 8-10,Balatonalmadi,Hungary,8220,Hotels,3,47.02989564,18.02108109,2,http://www.booking.com/hotel/hu/villa-pax.en-gb.html,EUR
51343,185207,To Wellness Hotel,Petofi ut 73.,Bank,Hungary,2653,Hotels,3,47.92302889,19.17953789,2,http://www.booking.com/hotel/hu/to-wellness.en-gb.html,EUR
51344,185208,Actor Hotel Budapest,Viola 10-14.,Budapest,Hungary,1094,Hotels,4,47.47899173,19.07438189,2,http://www.booking.com/hotel/hu/actor-business.en-gb.html,EUR
51345,18521,Hotel Terradets,"Carretera Balaguer-Tremp, Km 75",Cellers,Spain,25631,Hotels,3,42.06908133,0.88309452,2,http://www.booking.com/hotel/es/terradets.en-gb.html,EUR
51346,1852149,Villa Bettina,5 avenue Bettine,La Baule,France,44500,Hotels,3,47.27979661,-2.41744555,2,http://www.booking.com/hotel/fr/villa-bettina.en-gb.html,EUR
